,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Share,Seed,WL,SS,MPG
57,Jake Tsakalidis,C,21,PHO,57,39,947,3.8,8.2,0.47,0.0,0.0,,3.8,8.2,0.47,2.1,3.5,0.593,3.2,6.0,9.2,0.7,0.4,2.1,2.5,5.2,9.7,2001,9.6,0.502,15.1,-0.3,1.6,1.3,0.067,-4.7,0.8,-4.0,-0.5,,6.0,0.622,251,16.614035087719298
58,Hedo Türkoğlu,SF,21,SAC,74,7,1245,4.0,9.7,0.412,0.8,2.5,0.326,3.2,7.2,0.442,2.5,3.2,0.777,1.4,4.7,6.1,2.0,1.5,0.7,1.6,4.0,11.3,2001,11.7,0.509,15.6,1.0,1.8,2.8,0.106,-2.0,1.1,-0.9,0.4,,3.0,0.671,197,16.824324324324323
59,Gilbert Arenas,PG,20,GSW,47,30,1155,5.4,12.0,0.453,1.2,3.5,0.345,4.2,8.4,0.498,3.9,5.0,0.775,1.3,2.8,4.1,5.4,2.2,0.3,3.0,3.6,15.9,2002,17.0,0.562,20.1,2.1,0.7,2.7,0.114,1.0,0.0,1.0,0.9,,14.0,0.256,75,24.574468085106382
60,Shane Battier,SF,23,MEM,78,78,3097,4.8,11.2,0.429,1.2,3.2,0.373,3.6,8.0,0.451,2.3,3.3,0.7,2.1,2.8,4.9,2.5,1.4,0.9,1.8,2.5,13.1,2002,13.9,0.518,18.2,2.7,2.1,4.8,0.074,0.2,0.3,0.5,1.9,,13.0,0.28,160,39.705128205128204
61,Kwame Brown,PF,19,WAS,57,3,817,4.1,10.7,0.387,0.0,0.0,0.0,4.1,10.7,0.388,3.1,4.4,0.707,2.8,5.9,8.7,1.9,0.7,1.1,1.9,4.6,11.4,2002,11.2,0.45,18.6,0.0,0.8,0.8,0.048,-3.1,-0.9,-4.0,-0.4,,10.0,0.451,199,14.333333333333334
62,Tyson Chandler,C,19,CHI,71,31,1389,3.9,7.9,0.497,0.0,0.0,,3.9,7.9,0.497,3.5,5.8,0.604,3.0,5.9,8.9,1.4,0.7,2.4,2.6,4.6,11.3,2002,13.0,0.543,16.6,0.4,1.4,1.8,0.062,-3.3,-0.2,-3.5,-0.5,,15.0,0.256,210,19.56338028169014
63,Speedy Claxton,PG,23,PHI,67,18,1528,4.3,10.6,0.4,0.1,0.8,0.121,4.2,9.9,0.422,2.7,3.2,0.838,1.1,2.7,3.8,4.7,2.2,0.1,2.2,3.4,11.3,2002,12.6,0.469,18.2,0.4,2.4,2.8,0.087,-2.5,2.1,-0.4,0.6,,6.0,0.524,206,22.80597014925373
64,Jarron Collins,C,23,UTA,70,68,1440,3.9,8.6,0.461,0.0,0.0,0.0,3.9,8.6,0.462,3.3,4.5,0.74,3.4,3.9,7.4,1.4,0.7,0.5,1.4,5.9,11.3,2002,11.5,0.532,15.0,2.3,1.0,3.3,0.111,-2.1,-1.2,-3.3,-0.5,,8.0,0.537,207,20.571428571428573
65,Jason Collins,C,23,NJN,77,9,1407,3.0,7.1,0.421,0.0,0.1,0.5,3.0,7.1,0.42,2.9,4.2,0.701,3.4,4.3,7.7,2.1,0.7,1.2,1.8,4.4,9.0,2002,10.7,0.5,13.5,1.0,2.0,3.0,0.104,-2.6,0.6,-2.1,0.0,,1.0,0.634,278,18.272727272727273
66,Eddy Curry,C,19,CHI,72,31,1150,5.9,11.8,0.501,0.0,0.0,,5.9,11.8,0.501,3.3,5.0,0.656,3.5,5.0,8.5,0.8,0.5,1.7,2.2,5.4,15.1,2002,14.4,0.54,20.7,1.0,0.8,1.8,0.075,-2.4,-1.9,-4.4,-0.7,,15.0,0.256,97,15.972222222222221
