,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Shoo,Shoo,Shoo,-additional
Player,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
Sandro Mamukelashvili,5.4,11.0,2.0,4.8,1.9,2.4,2.7,7.2,2.5,0.9,0.8,1.5,2.6,14.7,.494,.411,.807,mamuksa01
Terance Mann,5.2,10.6,1.2,3.2,2.1,2.6,1.6,6.7,3.3,0.9,0.4,1.3,2.9,13.7,.491,.377,.790,mannte01
Tre Mann,6.2,15.1,2.6,6.9,1.9,2.3,0.8,4.9,2.6,1.3,0.4,1.8,2.6,16.9,.413,.372,.799,manntr01
Boban Marjanović,8.6,16.3,0.8,2.5,3.4,4.7,3.5,11.8,2.0,0.5,0.8,2.6,4.5,21.4,.529,.305,.718,marjabo01
Lauri Markkanen,6.3,13.7,2.7,7.4,2.6,3.0,1.2,6.9,1.6,0.9,0.6,1.2,2.4,17.9,.458,.373,.853,markkla01
Naji Marshall,5.2,12.5,1.3,4.9,3.3,4.2,1.5,7.2,3.6,1.5,0.5,2.1,3.2,14.9,.416,.263,.775,marshna01
Caleb Martin,5.2,11.0,1.7,4.5,1.9,2.6,1.7,6.1,2.1,1.5,0.7,1.4,2.8,14.1,.476,.371,.740,martica02
Cody Martin,4.0,8.5,1.1,3.1,1.5,2.1,1.7,5.9,3.5,1.6,0.6,1.3,2.3,10.6,.473,.360,.690,martico01
Kelan Martin,5.9,13.8,2.0,6.1,1.3,1.6,1.5,5.9,2.1,1.0,0.8,1.5,3.2,15.1,.428,.324,.790,martike03
Kenyon Martin Jr.,6.1,11.4,1.3,3.6,1.9,2.8,1.9,7.0,2.2,0.8,1.0,1.3,2.5,15.4,.535,.370,.675,martike04
Garrison Mathews,3.9,9.6,2.8,7.6,3.0,3.7,0.7,4.0,1.4,1.2,0.5,0.8,3.5,13.7,.411,.369,.816,mathega01
Dakota Mathias,5.9,13.4,2.2,6.3,1.9,2.7,1.1,5.3,3.6,1.0,0.7,1.5,2.6,15.9,.440,.345,.706,mathida01
Wesley Matthews,3.3,8.6,2.0,5.9,1.1,1.3,0.9,3.5,1.7,0.9,0.4,0.9,2.9,9.7,.385,.335,.795,matthwe02
Tyrese Maxey,6.8,13.9,1.8,4.2,2.9,3.3,0.4,3.6,4.5,0.8,0.5,1.3,2.2,18.3,.492,.418,.868,maxeyty01
Skylar Mays,5.7,12.0,1.7,4.8,2.1,2.5,1.2,5.1,3.4,1.3,0.3,1.6,2.0,15.3,.479,.347,.842,mayssk01
Miles McBride,4.1,11.2,1.7,6.1,1.3,1.8,0.8,5.0,4.0,1.3,0.3,0.9,3.8,11.3,.367,.287,.735,mcbrimi01
Mac McClung,5.9,12.5,1.8,5.1,2.4,3.1,1.4,6.4,3.4,1.2,0.8,2.3,3.4,16.1,.473,.359,.794,mccluma01
CJ McCollum,8.8,19.3,3.1,8.0,2.1,2.9,0.8,4.5,5.0,1.1,0.4,1.9,2.1,22.8,.456,.387,.724,mccolcj01
T.J. McConnell,5.6,10.8,0.5,1.6,1.0,1.3,1.1,5.2,8.1,2.0,0.5,2.3,2.5,12.6,.514,.321,.767,mccontj01
Jaden McDaniels,4.9,10.5,1.7,4.9,1.1,1.5,1.5,5.9,1.8,1.0,1.2,1.4,4.2,12.7,.469,.343,.767,mcdanja02
Jalen McDaniels,5.2,10.8,1.6,4.3,2.1,2.8,1.6,6.9,2.4,1.1,0.8,1.6,3.6,14.1,.482,.370,.739,mcdanja01
Doug McDermott,6.9,14.1,2.9,7.0,1.5,1.8,0.9,4.2,2.0,0.4,0.2,1.3,2.5,18.0,.486,.407,.797,mcderdo01
JaVale McGee,8.0,13.7,0.3,0.9,2.8,4.0,4.4,13.5,1.6,0.8,2.4,2.9,5.5,19.0,.585,.289,.688,mcgeeja01
Cameron McGriff,5.7,12.7,1.8,5.1,2.3,2.9,2.3,7.8,3.4,0.9,0.7,1.6,3.4,15.5,.448,.355,.805,mcgrica01
Rodney McGruder,4.8,10.9,2.3,6.1,1.1,1.6,1.4,5.5,2.4,1.1,0.4,1.3,2.8,13.1,.443,.383,.725,mcgruro01
